,url,time_control,EndDate,isProfilePlayerWon,isProfilePlayerLost,isProfilePlayerDrawn,terminationType,Opening
7747,https://www.chess.com/game/live/49850930369,120+1,2022.06.24,True,False,False,on time,Queens-Pawn-Opening-Zukertort-Chigorin-Variation
7748,https://www.chess.com/game/live/49890558043,300+5,2022.06.25,True,False,False,by checkmate,Sicilian-Defense-Open-Najdorf-Opocensky-Variation-6...e5-7.Nb3-Be6-8.Be3
7749,https://www.chess.com/game/live/49890626397,120+1,2022.06.25,False,True,False,by resignation,Italian-Game-Knight-Attack-Polerio-Bishop-Check-Suhle-Defense-9.Nf3-e4
7750,https://www.chess.com/game/live/49902063803,300+5,2022.06.25,False,True,False,by resignation,Scotch-Game-Steinitz-Modern-Defense-6.Be2
7751,https://www.chess.com/game/live/49902651981,300+5,2022.06.25,False,False,True,Game drawn by insufficient material,Sicilian-Defense-Open-Lowenthal-Variation-5.Nxc6-bxc6
7752,https://www.chess.com/game/live/49903821203,300+5,2022.06.25,False,True,False,by checkmate,Queens-Gambit-Declined-Chigorin-Defense-3.Nf3
7753,https://www.chess.com/game/live/49911072449,300+5,2022.06.25,False,True,False,by resignation,Scotch-Game-Classical-Variation-5.Be3
7754,https://www.chess.com/game/live/49911657563,300+5,2022.06.25,True,False,False,by checkmate,Queens-Pawn-Opening-Accelerated-London-Steinitz-Countergambit-3.e3
7755,https://www.chess.com/game/live/49912263025,120+1,2022.06.25,False,True,False,by resignation,Queens-Pawn-Opening-Zukertort-Chigorin-Variation-3.e3
7756,https://www.chess.com/game/live/49971030405,120+1,2022.06.26,True,False,False,on time,Scotch-Game
7757,https://www.chess.com/game/live/49971585655,120+1,2022.06.26,False,False,True,Game drawn by stalemate,Queens-Gambit-Declined-Marshall-Defense-3.Nc3
7758,https://www.chess.com/game/live/49972150631,120+1,2022.06.26,True,False,False,on time,Vienna-Game-Max-Lange-Defense-3.Bc4
7759,https://www.chess.com/game/live/49972202471,120+1,2022.06.26,True,False,False,on time,Scotch-Game-3...exd4-4.Nxd4
7760,https://www.chess.com/game/live/49984745029,120+1,2022.06.26,True,False,False,by checkmate,Italian-Game-Two-Knights-Modern-Bishops-Opening-4...h6-5.O-O
7761,https://www.chess.com/game/live/49984804865,120+1,2022.06.26,True,False,False,by resignation,Sicilian-Defense-Kan-Variation
